Date,NAAIM Number
17-Dec-08,14.43
10-Dec-08,3.68
3-Dec-08,9.65
26-Nov-08,9.67
19-Nov-08,11.71
12-Nov-08,15.06
5-Nov-08,9.62
29-Oct-08,10.00
22-Oct-08,8.37
15-Oct-08,18.00
8-Oct-08,-2.97
1-Oct-08,16.27
24-Sep-08,19.11
17-Sep-08,16.09
10-Sep-08,28.32
3-Sep-08,29.92
27-Aug-08,30.03
21-Aug-08,39.76
13-Aug-08,33.27
6-Aug-08,18.30
30-Jul-08,12.56
23-Jul-08,13.81
16-Jul-08,10.22
9-Jul-08,2.03
2-Jul-08,28.03
25-Jun-08,32.00
18-Jun-08,44.22
11-Jun-08,36.46
4-Jun-08,58.15
28-May-08,69.48
21-May-08,68.72
14-May-08,56.41
7-May-08,66.04
1-May-08,74.47
23-Apr-08,59.27
16-Apr-08,49.86
9-Apr-08,46.92
2-Apr-08,42.07
26-Mar-08,26.69
19-Mar-08,44.00
12-Mar-08,45.28
5-Mar-08,38.34
27-Feb-08,13.96
20-Feb-08,33.67
13-Feb-08,15.33
6-Feb-08,30.89
30-Jan-08,25.63
23-Jan-08,39.91
16-Jan-08,12.92
9-Jan-08,41.45
2-Jan-08,83.55
26-Dec-07,74.79
19-Dec-07,56.27
12-Dec-07,73.57
5-Dec-07,69.43
28-Nov-07,51.07
21-Nov-07,51.04
14-Nov-07,68.35
7-Nov-07,84.44
31-Oct-07,65.69
24-Oct-07,69.14
17-Oct-07,86.46
10-Oct-07,66.43
3-Oct-07,75.49
26-Sep-07,77.36
19-Sep-07,63.50
12-Sep-07,46.55
5-Sep-07,39.63
29-Aug-07,-2.11
22-Aug-07,38.19
15-Aug-07,21.25
8-Aug-07,43.82
1-Aug-07,39.00
25-Jul-07,40.58
18-Jul-07,74.13
11-Jul-07,62.39
5-Jul,56.06
27-Jun-07,74.23
20-Jun-07,61.47
13-Jun-07,53.04
6-Jun-07,57.63
30-May-07,80.55
23-May-07,82.50
16-May-07,87.38
9-May-07,73.83
2-May-07,82.67
25-Apr-07,75.42
18-Apr-07,54.14
11-Apr-07,59.32
4-Apr-07,45.65
28-Mar-07,44.54
21-Mar-07,47.70
14-Mar-07,38.05
7-Mar-07,52.40
28-Feb-07,89.33
21-Feb-07,73.68
14-Feb-07,79.09
7-Feb-07,82.00
31-Jan-07,80.75
24-Jan-07,72.59
17-Jan-07,84.89
10-Jan-07,58.88
3-Jan-07,100.05
27-Dec-06,85.17
20-Dec-06,92.91
13-Dec-06,93.00
6-Dec-06,74.73
29-Nov-06,86.67
22-Nov-06,92.43
15-Nov-06,68.10
8-Nov-06,73.96
1-Nov-06,80.96
25-Oct-06,80.16
18-Oct-06,84.41
11-Oct-06,60.09
4-Oct-06,69.70
27-Sep-06,49.90
20-Sep-06,78.00
13-Sep-06,45.80
6-Sep-06,49.38
30-Aug-06,42.10
23-Aug-06,42.10
16-Aug-06,38.60
9-Aug-06,45.02
2-Aug-06,44.23
26-Jul-06,17.38
19-Jul-06,18.76
12-Jul-06,31.20
5-Jul-06,19.44
7/12/2006,31.2
7/5/2006,19.44
